2025-01-13 08:01:28,342 | perf_monitor.manager | DEBUG | Set run ID to 1
2025-01-13 08:01:28,342 | perf_monitor.manager | DEBUG | Starting monitoring for preprocessing/resize, time enabled: True, precision enabled: True
2025-01-13 08:01:28,343 | perf_monitor.time | DEBUG | Started timing collection for preprocessing/resize_1
2025-01-13 08:01:28,343 | perf_monitor.time | DEBUG | Started monitoring block - Stage: preprocessing, Tag: resize_1
2025-01-13 08:01:28,343 | perf_monitor.manager | DEBUG | Started timing collection for stage: preprocessing, tag: resize
2025-01-13 08:01:29,082 | perf_monitor.precision | DEBUG | Started precision collection for preprocessing/resize_1
2025-01-13 08:01:29,082 | perf_monitor.precision | DEBUG | Started monitoring block - Stage: preprocessing, Tag: resize_1
2025-01-13 08:01:29,082 | perf_monitor.manager | DEBUG | Started precision collection for stage: preprocessing, tag: resize
2025-01-13 08:01:29,207 | perf_monitor.manager | DEBUG | Ending monitoring, time collector: True, precision collector: True
2025-01-13 08:01:29,207 | perf_monitor.time | DEBUG | Ended timing collection for preprocessing/resize_1, elapsed: 0.864189s
2025-01-13 08:01:29,207 | perf_monitor.time | DEBUG | [time] Ended monitoring block - Stage: preprocessing, Tag: resize_1
2025-01-13 08:01:29,207 | perf_monitor.precision | DEBUG | Ended precision collection for preprocessing/resize_1
2025-01-13 08:01:29,207 | perf_monitor.precision | DEBUG | [precision] Ended monitoring block - Stage: preprocessing, Tag: resize_1
2025-01-13 08:01:29,207 | perf_monitor.manager | DEBUG | Starting monitoring for preprocessing/augment, time enabled: True, precision enabled: False
2025-01-13 08:01:29,207 | perf_monitor.time | DEBUG | Started timing collection for preprocessing/augment_1
2025-01-13 08:01:29,207 | perf_monitor.time | DEBUG | Started monitoring block - Stage: preprocessing, Tag: augment_1
2025-01-13 08:01:29,207 | perf_monitor.manager | DEBUG | Started timing collection for stage: preprocessing, tag: augment
2025-01-13 08:01:29,218 | perf_monitor.manager | DEBUG | Ending monitoring, time collector: True, precision collector: True
2025-01-13 08:01:29,218 | perf_monitor.time | DEBUG | Ended timing collection for preprocessing/augment_1, elapsed: 0.011017s
2025-01-13 08:01:29,218 | perf_monitor.time | DEBUG | [time] Ended monitoring block - Stage: preprocessing, Tag: augment_1
2025-01-13 08:01:29,218 | perf_monitor.precision | WARNING | [precision] No active monitoring block to end
2025-01-13 08:01:29,218 | perf_monitor.manager | DEBUG | Registered config for inference/model1.forward
2025-01-13 08:01:29,219 | perf_monitor.manager | DEBUG | Starting monitoring for inference/model1.forward, time enabled: True, precision enabled: True
2025-01-13 08:01:29,219 | perf_monitor.time | DEBUG | Started timing collection for inference/model1.forward_1
2025-01-13 08:01:29,219 | perf_monitor.time | DEBUG | Started monitoring block - Stage: inference, Tag: model1.forward_1
2025-01-13 08:01:29,219 | perf_monitor.manager | DEBUG | Started timing collection for stage: inference, tag: model1.forward
2025-01-13 08:01:29,228 | perf_monitor.precision | DEBUG | Started precision collection for inference/model1.forward_1
2025-01-13 08:01:29,228 | perf_monitor.precision | DEBUG | Started monitoring block - Stage: inference, Tag: model1.forward_1
2025-01-13 08:01:29,228 | perf_monitor.manager | DEBUG | Started precision collection for stage: inference, tag: model1.forward
