2025-01-13 10:08:58,486 | perf_monitor.time | INFO | Initialized TimeCollector
2025-01-13 10:08:58,535 | perf_monitor.manager | DEBUG | Registered config for preprocessing/resize
2025-01-13 10:08:58,535 | perf_monitor.manager | DEBUG | Registered config for preprocessing/augment
2025-01-13 10:08:58,535 | perf_monitor.manager | DEBUG | Registered config for postprocessing/decode
2025-01-13 10:08:58,535 | perf_monitor.manager | DEBUG | Registered config for postprocessing/fuse
2025-01-13 10:08:58,790 | perf_monitor.manager | DEBUG | Set run ID to 1
2025-01-13 10:08:58,791 | perf_monitor.manager | DEBUG | Starting monitoring for preprocessing/resize, time enabled: True, precision enabled: True
2025-01-13 10:08:58,791 | perf_monitor.time | DEBUG | Started timing collection for preprocessing/resize_1
2025-01-13 10:08:58,791 | perf_monitor.time | DEBUG | Started monitoring block - Stage: preprocessing, Tag: resize_1
2025-01-13 10:08:58,791 | perf_monitor.manager | DEBUG | Started timing collection for stage: preprocessing, tag: resize
2025-01-13 10:08:59,400 | perf_monitor.precision | DEBUG | Started precision collection for preprocessing/resize_1
2025-01-13 10:08:59,400 | perf_monitor.precision | DEBUG | Started monitoring block - Stage: preprocessing, Tag: resize_1
2025-01-13 10:08:59,400 | perf_monitor.manager | DEBUG | Started precision collection for stage: preprocessing, tag: resize
2025-01-13 10:08:59,496 | perf_monitor.manager | DEBUG | Ending monitoring, time collector: True, precision collector: True
2025-01-13 10:08:59,496 | perf_monitor.time | DEBUG | Ended timing collection for preprocessing/resize_1, elapsed: 0.705116s
2025-01-13 10:08:59,496 | perf_monitor.time | DEBUG | [time] Ended monitoring block - Stage: preprocessing, Tag: resize_1
2025-01-13 10:08:59,496 | perf_monitor.precision | DEBUG | Ended precision collection for preprocessing/resize_1
2025-01-13 10:08:59,496 | perf_monitor.precision | DEBUG | [precision] Ended monitoring block - Stage: preprocessing, Tag: resize_1
2025-01-13 10:08:59,496 | perf_monitor.manager | DEBUG | Starting monitoring for preprocessing/augment, time enabled: True, precision enabled: False
2025-01-13 10:08:59,496 | perf_monitor.time | DEBUG | Started timing collection for preprocessing/augment_1
2025-01-13 10:08:59,496 | perf_monitor.time | DEBUG | Started monitoring block - Stage: preprocessing, Tag: augment_1
2025-01-13 10:08:59,496 | perf_monitor.manager | DEBUG | Started timing collection for stage: preprocessing, tag: augment
2025-01-13 10:08:59,496 | perf_monitor.manager | DEBUG | Ending monitoring, time collector: True, precision collector: True
